CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_COUNTRY,CUSTOMER_ZIPCODE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE
41,BLACK HILLS CORPORATION,13151 HIGHWAY 51,,GILLETTE,WY,UNITED STATES,827188201,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
42,BORD GAIS EIREANN,WHITEGATE INDEPENDENT POWER PLANT,FORT DAVIS ROAD,WHITEGATE,CORK,IRELAND,,ETL__20140617051246,4/16/2012,ADMIN,4/16/2012
43,BOSQUE POWER COMPANY, LLC,557 BOSQUE COUNTY RD 3610,,CLIFTON,TX,UNITED STATES,76634,ETL_CM_20130209232725,4/16/2012,ADMIN,4/16/2012
44,BP AMOCO CHEMICAL COMPANY,2 MI SO FM2917 ON FM2004,,ALVIN,TX,UNITED STATES,77512-1488,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
45,BRASKEM SA,RUA ETENO 1582,POLO PETROQUIMICO DE CAMACARI,CAMACARI,BA,BRAZIL,42810000,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
46,BRAZOS ELECTRIC POWER COOPERATIVE, INC,3844 HENDERSON RANCH RD,,BRIDGEPORT,TX,UNITED STATES,764265609,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
47,BRIGHTON BEACH POWER LP,100 CHAPPUS ST,,WINDSOR,ON,CANADA,N9C 4J3,TALEND_2016_08_16_10_05_50,4/16/2012,ADMIN,4/16/2012
48,BUCKSPORT ENERGY LLC,154 MAIN ST,,BUCKSPORT,ME,UNITED STATES,4416,TALEND_2015_09_23_02_01_01,4/16/2012,ADMIN,4/16/2012
50,BUDAPESTI ERUMU ZARTKORUEN MUKODO RISZVINYTARSASAG,TO UT 7,,BUDAPEST,,HUNGARY,1045,ADMIN,4/16/2012,ADMIN,4/16/2012
51,CAIRO ELECTRICITY PRODUCTION COMPANY,CAIRO NORTH POWER STATION - TERET EL ESMAILIA ST - AL ALMERIA,,CAIRO,CAIRO GOVERNORATE,EGYPT (ARAB REP OF),11688,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
52,CALHOUN POWER CO LLC,720 GREENVALLEY DRIVE,,EASTABOGA,AL,UNITED STATES,36260,ADMIN,4/16/2012,ADMIN,4/16/2012
53,CALPINE CORP,1400 PACHECO PASS HIGHWAY,,GILROY,CA,UNITED STATES,95020,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
